Product Page_url,Product Image_url,Image_Large,Product Name,Product Title,Product Listing Title,Brand,Catalog Number,Model/Part Number,Base Unit of Measure,Family,Series,Heating Capacity,Heating Efficiency,Configuration,Blower Size,Gas Stages,Blower Type,Product Voltage,Product Depth,Product Width,Product Height,Gross Weight,Type,Energy Star Certified,Low Nox
https://www.lennoxpros.com/el297uh045xe36b-45btuh3t/p/24X60,https://images.lennoxpros.com/is/image/LennoxIntl/24X60?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/24X60,Lennox EL297UH045XE36B Furnace,"Lennox Elite EL297UHE, EL297UH045XE36B, 97% AFUE, 44000 BTU, 3 Ton, 2 Stage, Constant Torque Upflow/Horizontal Low Nox Gas Furnace",Lennox EL297UH045XE36B 2 Stage Furance,Lennox,24X60,EL297UH045XE36B,Unit(S),EL297UHE,Elite,44000 Btuh,97% AFUE,Upflow/Horizontal,3 Ton,2 Stage,Constant Torque,115 VAC 1 Ph 60 Hz,27.75 Inch,17.5 Inch,33 Inch,129 lbs.,2-Stage Constant Torque Horizontal Gas Furnace,Yes,Low Nox
https://www.lennoxpros.com/el297uh110xv60c110btuh5ton/p/24X54,https://images.lennoxpros.com/is/image/LennoxIntl/24X54?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/24X54,Lennox EL297UH110XV60C Furnace,"Lennox Elite EL297UHV, EL297UH110XV60C, 97% AFUE, 110000 BTU, 5 Ton, 2 Stage, Variable Speed Upflow/Horizontal Gas Furnace",Lennox EL297UH110XV60C 2 Stage Furance,Lennox,24X54,EL297UH110XV60C,Unit(S),EL297UHV,Elite,110000 Btuh,97% AFUE,Upflow/Horizontal,5 Ton,2 Stage,Variable Speed,115 VAC 1 Ph 60 Hz,27.75 Inch,21 Inch,33 Inch,175 lbs.,2-Stage Variable Speed Horizontal Gas Furnace,Yes,Low Nox
https://www.lennoxpros.com/slp99df110xv60c-gas-furnace-110btuh-5ton/p/19A46,https://images.lennoxpros.com/is/image/LennoxIntl/19A46?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/19A46,Lennox SLP99DF110XV60C Furnace,"Lennox DLSC SLP99V, SLP99DF110XV60C, 97.5% AFUE, 110000 BTU, 4-5 Ton, Modulating, Variable Speed Downflow Gas Furnace",Lennox SLP99DF110XV60C Modulating Furance,Lennox,19A46,SLP99DF110XV60C,Unit(S),SLP99V,DLSC,110000 Btuh,97.5% AFUE,Downflow,4-5 Ton,Modulating,Variable Speed,115 VAC 1 Ph 60 Hz,29.25 Inch,21 Inch,33 Inch,175 lbs.,,Yes,Low NOx
https://www.lennoxpros.com/el297df090xv60c-90btuh5ton/p/24X58,https://images.lennoxpros.com/is/image/LennoxIntl/24X58?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/24X58,Lennox EL297DF090XV60C Furnace,"Lennox Elite EL297DFV, EL297DF090XV60C, 97% AFUE, 88000 BTU, 5 Ton, 2 Stage, Variable Speed Downflow Gas Furnace",Lennox EL297DF090XV60C 2 Stage Furance,Lennox,24X58,EL297DF090XV60C,Unit(S),EL297DFV,Elite,88000 Btuh,97% AFUE,Downflow,5 Ton,2 Stage,Variable Speed,115 VAC 1 Ph 60 Hz,27.75 Inch,21 Inch,33 Inch,166 lbs.,2-Stage Variable Speed Downflow Gas Furnace,Yes,Low Nox
https://www.lennoxpros.com/slp98df090xv48c-furnace-gas-90btuh-4t/p/62W84,https://images.lennoxpros.com/is/image/LennoxIntl/62W84?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/62W84,Lennox SLP98DF090XV48C Furnace,"Lennox DLSC SLP98DF, SLP98DF090XV48C, 98.7% AFUE, 88000 BTU, 4 Ton, Modulating, Variable Speed Downflow Gas Furnace",Lennox SLP98DF090XV48C Modulating Furance,Lennox,62W84,SLP98DF090XV48C,Unit(S),SLP98DF,DLSC,88000 Btuh,98.7% AFUE,Downflow,4 Ton,Modulating,Variable Speed,115 VAC 1 Ph 60 Hz,27.75 Inch,21 Inch,33 Inch,163 lbs.,,Yes,Low NOx
https://www.lennoxpros.com/sl297uh040nv36b-97afue-ultra-low-nox-gas-furnace-3-ton/p/15Y74,https://images.lennoxpros.com/is/image/LennoxIntl/15Y74?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/15Y74,Lennox SL297UH040NV36B Furnace,"Lennox DLSC SL297NV, SL297UH040NV36B, 97.5% AFUE, 40000 BTU, 3 Ton, 2 Stage Heat, Variable Speed Upflow/Horizontal Gas Furnace",Lennox SL297UH040NV36B 2 Stage Heat Furance,Lennox,15Y74,SL297UH040NV36B,Unit(S),SL297NV,DLSC,40000 Btuh,97.5% AFUE,Upflow/Horizontal,3 Ton,2 Stage Heat,Variable Speed,115 VAC 1 Ph 60 Hz,27.75 Inch,17.5 Inch,33 Inch,125 lbs.,,Yes,Ultra-Low NOx
https://www.lennoxpros.com/el297df110xv60c-110btuh5ton/p/24X59,https://images.lennoxpros.com/is/image/LennoxIntl/24X59?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/24X59,Lennox EL297DF110XV60C Furnace,"Lennox Elite EL297DFV, EL297DF110XV60C, 97% AFUE, 110000 BTU, 5 Ton, 2 Stage, Variable Speed Downflow Gas Furnace",Lennox EL297DF110XV60C 2 Stage Furance,Lennox,24X59,EL297DF110XV60C,Unit(S),EL297DFV,Elite,110000 Btuh,97% AFUE,Downflow,5 Ton,2 Stage,Variable Speed,115 VAC 1 Ph 60 Hz,27.75 Inch,21 Inch,33 Inch,176 lbs.,2-Stage Variable Speed Downflow Gas Furnace,Yes,Low Nox
https://www.lennoxpros.com/slp98df090xv60c-furnace-gas-90btuh-5t/p/62W85,https://images.lennoxpros.com/is/image/LennoxIntl/62W85?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/62W85,Lennox SLP98DF090XV60C Furnace,"Lennox DLSC SLP98V, SLP98DF090XV60C, 98.7% AFUE, 88000 BTU, 5 Ton, Modulating, Variable Speed Downflow Gas Furnace",Lennox SLP98DF090XV60C Modulating Furance,Lennox,62W85,SLP98DF090XV60C,Unit(S),SLP98V,DLSC,88000 Btuh,98.7% AFUE,Downflow,5 Ton,Modulating,Variable Speed,115 VAC 1 Ph 60 Hz,27.75 Inch,21 Inch,33 Inch,165 lbs.,,Yes,Low NOx
https://www.lennoxpros.com/el297uh090xv60c-90btuh5ton/p/24X69,https://images.lennoxpros.com/is/image/LennoxIntl/24X69?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/24X69,Lennox EL297UH090XV60C Furnace,"Lennox Elite EL297UHV, EL297UH090XV60C, 97% AFUE, 88000 BTU, 5 Ton, 2 Stage, Variable Speed Upflow/Horizontal Gas Furnace",Lennox EL297UH090XV60C 2 Stage Furance,Lennox,24X69,EL297UH090XV60C,Unit(S),EL297UHV,Elite,88000 Btuh,97% AFUE,Upflow/Horizontal,5 Ton,2 Stage,Variable Speed,115 VAC 1 Ph 60 Hz,27.75 Inch,21 Inch,33 Inch,155 lbs.,2-Stage Variable Speed Horizontal Gas Furnace,Yes,Low Nox
https://www.lennoxpros.com/el297uh135xv60d135btuh5ton/p/24X55,https://images.lennoxpros.com/is/image/LennoxIntl/24X55?$product_related$,https://images.lennoxpros.com/is/image/LennoxIntl/24X55,Lennox EL297UH135XV60D Furnace,"Lennox Elite EL297UHV, EL297UH135XV60D, 97% AFUE, 132000 BTU, 5 Ton, 2 Stage, Variable Speed Upflow/Horizontal Gas Furnace",Lennox EL297UH135XV60D 2 Stage Furance,Lennox,24X55,EL297UH135XV60D,Unit(S),EL297UHV,Elite,132000 Btuh,97% AFUE,Upflow/Horizontal,5 Ton,2 Stage,Variable Speed,115 VAC 1 Ph 60 Hz,27.75 Inch,24.5 Inch,33 Inch,188 lbs.,2-Stage Variable Speed Horizontal Gas Furnace,Yes,Low Nox
